algorithm,query,query_mask,query_boundaries,query_area,query_wns,query_reward,incumbent_mask,incumbent_reward,improvement_over_seed,frontier_size,frontier_changed,query_on_frontier
reinforce_v2,7,0x0010000000,1,959.196,7.45363,73.577104,0x0010000000,73.577104,0.09524000000000399,5,True,True
reinforce_v2,8,0x0000400000,1,898.548,7.30671,72.168552,0x0010000000,73.577104,0.09524000000000399,5,False,False
reinforce_v2,9,0x0000000100,1,1064.8,7.20519,70.9871,0x0010000000,73.577104,0.09524000000000399,5,False,False
reinforce_v2,10,0x0800000000,1,962.654,7.43441,73.381446,0x0010000000,73.577104,0.09524000000000399,5,False,False
reinforce_v2,11,0x1000000000,1,933.926,7.45977,73.663774,0x1000000000,73.663774,0.18191000000000201,4,True,True
reinforce_v2,12,0x0000000010,1,1106.56,7.16518,70.54524,0x1000000000,73.663774,0.18191000000000201,4,False,False
reinforce_v2,13,0x2000000000,1,941.64,7.40189,73.07726,0x1000000000,73.663774,0.18191000000000201,4,False,False
reinforce_v2,14,0x0000100000,1,904.134,7.32648,72.360666,0x1000000000,73.663774,0.18191000000000201,4,False,False
reinforce_v2,15,0x0000000400,1,1050.97,7.21941,71.14313,0x1000000000,73.663774,0.18191000000000201,4,False,False
reinforce_v2,16,0x0000000002,1,1129.44,7.17254,70.59596,0x1000000000,73.663774,0.18191000000000201,4,False,False
