benchmark,rng_seed,method,query,mask,boundary_count,status,valid,cache_hit,area,wns,score,incumbent_reward,improvement_over_seed
cmp32,20260924,v2_learn,2,0x7ffc0c00,15,success,True,False,271.586,7.59822,75.710614,76.013816,0.0
cmp32,20260924,v2_learn,3,0x04000000,1,success,True,True,274.778,7.61857,75.910922,76.013816,0.0
cmp32,20260924,v2_learn,4,0x00000008,1,success,True,False,288.61,7.58648,75.57619,76.013816,0.0
cmp32,20260924,v2_learn,5,0x7d800000,7,success,True,False,270.256,7.59878,75.717544,76.013816,0.0
cmp32,20260924,v2_learn,6,0x7ff8a200,15,success,True,False,268.394,7.63802,76.111806,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,7,0x7ffa8100,15,success,True,False,277.704,7.62797,76.001996,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,8,0x7ffe8000,15,success,True,True,276.64,7.58053,75.52866,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,9,0x58c80080,7,success,True,False,264.138,7.58995,75.635362,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,10,0x7ffe0080,15,success,True,False,272.384,7.54055,75.133116,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,11,0x7ffa8040,15,success,True,False,277.97,7.60581,75.78013,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,12,0x7e800000,7,success,True,True,280.364,7.60743,75.793936,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,13,0x7ffc2020,15,success,True,False,269.458,7.6464,76.194542,76.194542,0.18072599999999284
cmp32,20260924,v2_learn,14,0x7fe9a080,15,success,True,False,268.128,7.60776,75.809472,76.194542,0.18072599999999284
cmp32,20260924,v2_learn,15,0x7c808000,7,success,True,False,275.31,7.56133,75.33799,76.194542,0.18072599999999284
cmp32,20260924,v2_learn,16,0x00001000,1,success,True,True,266.266,7.59896,75.723334,76.194542,0.18072599999999284
cmp32,20260924,v2_frozen,1,0x7fe3c080,15,success,True,True,268.66,7.61227,75.85404,76.013816,0.0
cmp32,20260924,v2_frozen,2,0x7ffc0c00,15,success,True,True,271.586,7.59822,75.710614,76.013816,0.0
cmp32,20260924,v2_frozen,3,0x19000000,3,success,True,False,265.468,7.52329,74.967432,76.013816,0.0
cmp32,20260924,v2_frozen,4,0x00840008,3,success,True,False,287.546,7.59942,75.706654,76.013816,0.0
cmp32,20260924,v2_frozen,5,0x7d800000,7,success,True,True,270.256,7.59878,75.717544,76.013816,0.0
cmp32,20260924,v2_frozen,6,0x7ff8a200,15,success,True,True,268.394,7.63802,76.111806,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,7,0x00000008,1,success,True,True,288.61,7.58648,75.57619,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,8,0x7fffda80,21,success,True,False,267.862,7.55759,75.308038,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,9,0x58c80080,7,success,True,True,264.138,7.58995,75.635362,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,10,0x7e800000,7,success,True,True,280.364,7.60743,75.793936,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,11,0x7ffa8040,15,success,True,True,277.97,7.60581,75.78013,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,12,0x7ffe8000,15,success,True,True,276.64,7.58053,75.52866,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,13,0x7ffc1020,15,success,True,False,272.384,7.6162,75.889616,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,14,0x7fe9a080,15,success,True,True,268.128,7.60776,75.809472,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,15,0x7c808000,7,success,True,True,275.31,7.56133,75.33799,76.111806,0.0979899999999958
cmp32,20260924,v2_frozen,16,0x00000800,1,success,True,False,264.936,7.62312,75.966264,76.111806,0.0979899999999958
cmp32,20260924,count_matched_uniform,1,0x00000020,1,success,True,False,284.886,7.6078,75.793114,76.013816,0.0
cmp32,20260924,count_matched_uniform,2,0x40946b7d,15,success,True,False,279.566,7.63393,76.059734,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,3,0x10001800,3,success,True,False,277.172,7.60226,75.745428,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,4,0x00040404,3,success,True,False,268.926,7.546,75.191074,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,5,0x00004000,1,success,True,False,276.906,7.60769,75.799994,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,6,0x076bab0c,15,success,True,False,272.118,7.62037,75.931582,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,7,0x00000002,1,success,True,True,275.044,7.56085,75.333456,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,8,0x7fbdfffb,28,success,True,False,273.98,7.61192,75.84522,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,9,0x00002000,1,success,True,True,275.044,7.51617,74.886656,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,10,0x520820a0,7,success,True,False,268.926,7.61944,75.925474,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,11,0x30980102,7,success,True,False,279.566,7.60501,75.770534,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,12,0x6e01ccd3,15,success,True,False,273.98,7.59102,75.63622,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,13,0x305725f8,15,success,True,False,276.108,7.55206,75.244492,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,14,0x015abb1b,15,success,True,False,276.374,7.60236,75.747226,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,15,0x00010000,1,success,True,False,264.404,7.5762,75.497596,76.059734,0.04591800000000035
cmp32,20260924,count_matched_uniform,16,0x00000800,1,success,True,True,264.936,7.62312,75.966264,76.059734,0.04591800000000035
cmp32,20260925,v1_learn,1,0x0ab0a8ea,13,success,True,False,275.044,7.57689,75.493856,76.013816,0.0
cmp32,20260925,v1_learn,2,0x088400c2,6,success,True,False,268.66,7.54051,75.13644,76.013816,0.0
cmp32,20260925,v1_learn,3,0x00c10299,8,success,True,False,273.182,7.55915,75.318318,76.013816,0.0
cmp32,20260925,v1_learn,4,0x40a18928,9,success,True,False,275.576,7.5736,75.460424,76.013816,0.0
cmp32,20260925,v1_learn,5,0x02aa8520,9,success,True,False,272.384,7.56276,75.355216,76.013816,0.0
cmp32,20260925,v1_learn,6,0x08828af0,10,success,True,False,271.586,7.61418,75.870214,76.013816,0.0
cmp32,20260925,v1_learn,7,0x20881208,6,success,True,False,266.266,7.60483,75.782034,76.013816,0.0
cmp32,20260925,v1_learn,8,0x190aa080,8,success,True,False,278.768,7.59286,75.649832,76.013816,0.0
cmp32,20260925,v1_learn,9,0x50881200,6,success,True,False,267.064,7.55932,75.326136,76.013816,0.0
cmp32,20260925,v1_learn,10,0x73c8a88c,14,success,True,False,276.906,7.63112,76.034294,76.034294,0.02047799999999711
cmp32,20260925,v1_learn,11,0x398ae804,12,success,True,False,275.576,7.62709,75.995324,76.034294,0.02047799999999711
cmp32,20260925,v1_learn,12,0x42a8ea24,12,success,True,False,284.886,7.6094,75.809114,76.034294,0.02047799999999711
cmp32,20260925,v1_learn,13,0x0086a484,8,success,True,False,266.532,7.60418,75.775268,76.034294,0.02047799999999711
cmp32,20260925,v1_learn,14,0x71ea6800,12,success,True,False,270.522,7.53814,75.110878,76.034294,0.02047799999999711
cmp32,20260925,v1_learn,15,0x0084a5be,12,success,True,False,276.108,7.60938,75.817692,76.034294,0.02047799999999711
cmp32,20260925,v1_learn,16,0x200a8880,6,success,True,False,272.916,7.60899,75.816984,76.034294,0.02047799999999711
cmp32,20260925,v2_learn,1,0x00000002,1,success,True,True,275.044,7.56085,75.333456,76.013816,0.0
cmp32,20260925,v2_learn,2,0x000000d0,3,success,True,False,275.31,7.60381,75.76279,76.013816,0.0
cmp32,20260925,v2_learn,3,0x20000000,1,success,True,False,275.842,7.61056,75.829758,76.013816,0.0
cmp32,20260925,v2_learn,4,0x7fdda000,15,success,True,False,269.192,7.60488,75.779608,76.013816,0.0
cmp32,20260925,v2_learn,5,0x08800800,3,success,True,False,272.118,7.56692,75.397082,76.013816,0.0
cmp32,20260925,v2_learn,6,0x7fe3e000,15,success,True,False,272.384,7.54764,75.204016,76.013816,0.0
cmp32,20260925,v2_learn,7,0x7ffc8080,15,success,True,False,270.256,7.53926,75.122344,76.013816,0.0
cmp32,20260925,v2_learn,8,0x78880800,7,success,True,False,271.852,7.55956,75.323748,76.013816,0.0
cmp32,20260925,v2_learn,9,0x7e800000,7,success,True,True,280.364,7.60743,75.793936,76.013816,0.0
cmp32,20260925,v2_learn,10,0x1c20a800,7,success,True,False,280.364,7.59182,75.637836,76.013816,0.0
cmp32,20260925,v2_learn,11,0x60800000,3,success,True,False,271.852,7.55219,75.250048,76.013816,0.0
cmp32,20260925,v2_learn,12,0x5c808800,7,success,True,False,283.29,7.60507,75.76741,76.013816,0.0
cmp32,20260925,v2_learn,13,0x7c000280,7,success,True,False,271.054,7.62689,75.997846,76.013816,0.0
cmp32,20260925,v2_learn,14,0x04000000,1,success,True,True,274.778,7.61857,75.910922,76.013816,0.0
cmp32,20260925,v2_learn,15,0x08868090,7,success,True,False,271.586,7.59749,75.703314,76.013816,0.0
cmp32,20260925,v2_learn,16,0x78881000,7,success,True,False,269.99,7.56642,75.39421,76.013816,0.0
cmp32,20260925,v2_frozen,1,0x00000002,1,success,True,True,275.044,7.56085,75.333456,76.013816,0.0
cmp32,20260925,v2_frozen,2,0x000000d0,3,success,True,True,275.31,7.60381,75.76279,76.013816,0.0
cmp32,20260925,v2_frozen,3,0x20000000,1,success,True,True,275.842,7.61056,75.829758,76.013816,0.0
cmp32,20260925,v2_frozen,4,0x7fdda000,15,success,True,True,269.192,7.60488,75.779608,76.013816,0.0
cmp32,20260925,v2_frozen,5,0x08800800,3,success,True,True,272.118,7.56692,75.397082,76.013816,0.0
cmp32,20260925,v2_frozen,6,0x30f80000,7,success,True,False,267.862,7.62456,75.977738,76.013816,0.0
cmp32,20260925,v2_frozen,7,0x7ffc8040,15,success,True,False,270.256,7.57551,75.484844,76.013816,0.0
cmp32,20260925,v2_frozen,8,0x7fffff80,24,success,True,False,268.128,7.63719,76.103772,76.103772,0.08995600000000081
cmp32,20260925,v2_frozen,9,0x7e800000,7,success,True,True,280.364,7.60743,75.793936,76.103772,0.08995600000000081
cmp32,20260925,v2_frozen,10,0x1c20a800,7,success,True,True,280.364,7.59182,75.637836,76.103772,0.08995600000000081
cmp32,20260925,v2_frozen,11,0x00002000,1,success,True,True,275.044,7.51617,74.886656,76.103772,0.08995600000000081
cmp32,20260925,v2_frozen,12,0x00000020,1,success,True,True,284.886,7.6078,75.793114,76.103772,0.08995600000000081
cmp32,20260925,v2_frozen,13,0x7c000280,7,success,True,True,271.054,7.62689,75.997846,76.103772,0.08995600000000081
cmp32,20260925,v2_frozen,14,0x04000000,1,success,True,True,274.778,7.61857,75.910922,76.103772,0.08995600000000081
cmp32,20260925,v2_frozen,15,0x088a8090,7,success,True,False,276.108,7.60436,75.767492,76.103772,0.08995600000000081
cmp32,20260925,v2_frozen,16,0x78a02000,7,success,True,False,271.32,7.61038,75.83248,76.103772,0.08995600000000081
cmp32,20260925,count_matched_uniform,1,0x00000001,1,success,True,False,274.778,7.5721,75.446222,76.013816,0.0
cmp32,20260925,count_matched_uniform,2,0x00081346,7,success,True,False,281.96,7.61039,75.82194,76.013816,0.0
cmp32,20260925,count_matched_uniform,3,0x00000800,1,success,True,True,264.936,7.62312,75.966264,76.013816,0.0
cmp32,20260925,count_matched_uniform,4,0x05ebaa91,15,success,True,False,279.3,7.59882,75.7089,76.013816,0.0
cmp32,20260925,count_matched_uniform,5,0x00200802,3,success,True,False,283.024,7.60035,75.720476,76.013816,0.0
cmp32,20260925,count_matched_uniform,6,0x13440003,7,success,True,False,280.098,7.61688,75.888702,76.013816,0.0
