seed,method,query,baseline,scale,expected_K
31002,v3_conditioned,8,70.76350483440642,0.5853881356351562,20.646246113004594
31002,v3_conditioned,9,70.87822946752513,0.5830351416268427,20.556320543957217
31002,v3_conditioned,10,70.95094077402011,0.539139419796449,20.49863076440924
31002,v3_conditioned,11,70.99508981921609,0.4813115358371592,20.461458996756548
31002,v3_conditioned,12,71.02990905537287,0.43504922866972734,20.42908209683992
31002,v3_conditioned,13,71.0569044442983,0.3980393829357819,20.401535045769666
31002,v3_conditioned,14,71.09092635543864,0.36843150634862554,20.363965862386657
31002,v3_conditioned,15,71.1084306843509,0.34474520507890044,20.34341242632008
31002,v3_conditioned,16,70.71611094748073,0.6681159009333011,18.951737873950105
31002,v2_frozen,1,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,2,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,3,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,4,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,5,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,6,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,7,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,8,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,9,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,10,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,11,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,12,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,13,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,14,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,15,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_frozen,16,70.3477165,0.6457996814343835,21.662391505451552
31003,v2_legacy,1,70.2457524,0.6186038451475075,22.498100892382297
31003,v2_legacy,2,70.08421032000001,0.656425156118007,23.80658009099193
31003,v2_legacy,3,70.34225385600001,0.7831836608944024,21.319406010140355
31003,v2_legacy,4,70.54122868480002,0.8255217575155207,20.114868636873293
31003,v2_legacy,5,70.67002014784002,0.7892088690524134,19.538964652644417
31003,v2_legacy,6,70.75720571827202,0.7185526656739263,19.192650464819877
31003,v2_legacy,7,70.83710737461762,0.654743788884736,18.88472609709499
31003,v2_legacy,8,70.9082630996941,0.5949507561842658,18.619283133390336
31003,v2_legacy,9,70.62496927975528,0.7592544248862323,18.805869184264875
31003,v2_legacy,10,70.78198102380422,0.7644152839579299,18.407989556744962
31003,v2_legacy,11,70.84381281904338,0.6733640224054989,18.279473731797236
31003,v2_legacy,12,70.94433585523471,0.639214254115724,18.064101344814414
31003,v2_legacy,13,71.02435428418778,0.5913898322456356,17.9073741891541
31003,v2_legacy,14,71.05954062735023,0.5231118657965085,17.84024108541954
31003,v2_legacy,15,71.12382330188018,0.4827721671671612,17.71070334486319
31003,v2_legacy,16,71.12776664150415,0.43621773373372896,17.702805206829353
31003,v2_raw_aggregate,1,70.2457524,0.6186038451475075,22.498100892382297
31003,v2_raw_aggregate,2,70.08421032000001,0.656425156118007,23.80658009099193
31003,v2_raw_aggregate,3,70.34225385600001,0.7831836608944024,21.319406010140355
31003,v2_raw_aggregate,4,70.54122868480002,0.8255217575155207,20.114868636873293
31003,v2_raw_aggregate,5,70.67002014784002,0.7892088690524134,19.538964652644417
31003,v2_raw_aggregate,6,70.75720571827202,0.7185526656739263,19.192650464819877
31003,v2_raw_aggregate,7,70.83710737461762,0.654743788884736,18.88472609709499
31003,v2_raw_aggregate,8,70.9082630996941,0.5949507561842658,18.619283133390336
31003,v2_raw_aggregate,9,70.62496927975528,0.7592544248862323,18.805869184264875
31003,v2_raw_aggregate,10,70.78198102380422,0.7644152839579299,18.407989556744962
31003,v2_raw_aggregate,11,70.84381281904338,0.6733640224054989,18.279473731797236
31003,v2_raw_aggregate,12,70.94433585523471,0.639214254115724,18.064101344814414
31003,v2_raw_aggregate,13,71.02435428418778,0.5913898322456356,17.9073741891541
31003,v2_raw_aggregate,14,71.05954062735023,0.5231118657965085,17.84024108541954
31003,v2_raw_aggregate,15,71.12382330188018,0.4827721671671612,17.71070334486319
31003,v2_raw_aggregate,16,71.12776664150415,0.43621773373372896,17.702805206829353
31003,v3_conditioned,1,70.2457524,0.6186038451475075,21.69548930222047
31003,v3_conditioned,2,70.08421032000001,0.656425156118007,21.648641858957042
31003,v3_conditioned,3,70.263905456,0.7048352608944036,21.525401838615387
31003,v3_conditioned,4,70.47854996480001,0.7785127175155236,21.3706008332433
31003,v3_conditioned,5,70.61987717184002,0.7641373810524174,21.272149040925843
31003,v3_conditioned,6,70.71709133747201,0.7085240704739302,21.20265605203419
31003,v3_conditioned,7,70.80501586997761,0.6547437888847404,21.13453396214361
31003,v3_conditioned,8,70.8825898959821,0.6013690571122708,21.06964158490578
31003,v3_conditioned,9,70.61241071678567,0.7512744248862351,20.191016915710986
31003,v3_conditioned,10,70.77193417342855,0.7605429965518525,20.109317543419923
